Country,Year,Thousand Units (Bags of 60 kg)
Vietnam,1990,150
Mexico,2019,2477
Mexico,2018,2450
Mexico,2017,2400
Mexico,2016,2360
Mexico,2015,2329
Mexico,2014,2347
Mexico,2013,2321
Mexico,2012,2354
Mexico,2011,2354
Mexico,2010,2354
Mexico,2009,2200
Mexico,2008,2200
Mexico,2007,2200
Mexico,2006,2000
Mexico,2005,1725
Mexico,2004,1500
Mexico,2003,1500
Mexico,2002,1500
Mexico,2001,1500
Mexico,2000,1305
Mexico,1999,1150
Mexico,1998,1108
Mexico,1997,1201
Mexico,1996,1235
Mexico,1995,1179
Mexico,1994,1020
Mexico,1993,1070
Mexico,1992,1300
Mexico,1991,1200
Mexico,1990,1374
Colombia,2019,1831.15
Colombia,2018,1791.41
Colombia,2017,1793.27
Colombia,2016,1736.44
Colombia,2015,1720.37
Colombia,2014,1665.45
Colombia,2013,1617.02
Colombia,2012,1514.24
Colombia,2011,1435.07
Colombia,2010,1311.02
Colombia,2009,1274.48
Colombia,2008,1290.5
Colombia,2007,1280.92
Colombia,2006,1194.63
Colombia,2005,1209
Colombia,2004,1223
Colombia,2003,1237
Colombia,2002,1252
Colombia,2001,1267
Colombia,2000,1282
Colombia,1999,1297
Colombia,1998,1312
Colombia,1997,1328
Colombia,1996,1343
Colombia,1995,1359
Colombia,1994,1375
Colombia,1993,1339
Colombia,1992,1303
Colombia,1991,1269
Colombia,1990,1235
Venezuela,2019,1577.76
Venezuela,2018,1550
Venezuela,2017,1600
Venezuela,2016,1650
Venezuela,2015,1650
Venezuela,2014,1650
Venezuela,2013,1650
Venezuela,2012,1650
Venezuela,2011,1650
Venezuela,2010,1650
Venezuela,2009,1650
Venezuela,2008,1649.26
Venezuela,2007,1582.33
Venezuela,2006,1518.11
Venezuela,2005,1456.5
Venezuela,2004,1397.39
Venezuela,2003,1340.68
Venezuela,2002,1286.27
Venezuela,2001,1234.07
Venezuela,2000,1183.99
Venezuela,1999,1135.94
Venezuela,1998,1089.84
Venezuela,1997,1045.61
Venezuela,1996,1003.18
Venezuela,1995,962.46
Venezuela,1994,923.4
Venezuela,1993,885.93
Venezuela,1992,849.97
Venezuela,1991,815.48
Venezuela,1990,782.39
India,2019,1494.88
India,2018,1475
India,2017,1470
India,2016,1440
India,2015,1450
India,2014,1430
India,2013,1400
India,2012,1375
India,2011,1325
India,2010,1325
India,2009,1325
India,2008,1275
India,2007,1350
India,2006,1275
India,2005,1238
India,2004,1202
India,2003,1167
India,2002,1133
India,2001,1067
India,2000,975
India,1999,925
India,1998,900
India,1997,839
India,1996,838
India,1995,837
India,1994,835
India,1993,833.33
India,1992,917
India,1991,916.67
India,1990,903
Thailand,2019,1456
Thailand,2018,1400
Thailand,2017,1375
Thailand,2016,1350
Thailand,2015,1300
Thailand,2014,1250
Thailand,2013,1200
Thailand,2012,1130
Thailand,2011,1100
Thailand,2010,775
Thailand,2009,700
Thailand,2008,600
Thailand,2007,550
Thailand,2006,500
Thailand,2005,500
Thailand,2004,500
Thailand,2003,500
Thailand,2002,500
Thailand,2001,500
Thailand,2000,500
Thailand,1999,433
Thailand,1998,433
Thailand,1997,390
Thailand,1996,333
Thailand,1995,417
Thailand,1994,283
Thailand,1993,250
Thailand,1992,233
Thailand,1991,220
Thailand,1990,188
Turkey,2019,1301.74
Turkey,2018,1249.45
Turkey,2017,1196.1
Turkey,2016,1130.66
Turkey,2015,1186.36
Turkey,2014,929.4
Turkey,2013,789
Turkey,2012,681
Turkey,2011,633
Turkey,2010,610
Turkey,2009,521
Turkey,2008,484
Turkey,2007,516
Turkey,2006,497
Turkey,2005,464
Turkey,2004,403
Turkey,2003,367
Turkey,2002,359
Turkey,2001,290
Turkey,2000,287
Turkey,1999,265
Turkey,1998,286
Turkey,1997,236
Turkey,1996,241
Turkey,1995,199
Turkey,1994,140
Turkey,1993,219
Turkey,1992,165
Turkey,1991,163
Turkey,1990,140
Switzerland,2019,1112.89
Switzerland,2018,1170.29
Switzerland,2017,894
Switzerland,2016,1066
Switzerland,2015,1096
Switzerland,2014,1028
Switzerland,2013,1123
Switzerland,2012,1047.08
Switzerland,2011,1034.97
Switzerland,2010,1011.81
Switzerland,2009,965.55
Switzerland,2008,1149.3
Switzerland,2007,988.97
Switzerland,2006,931.89
Switzerland,2005,1099.33
Switzerland,2004,722.02
Switzerland,2003,852.43
Switzerland,2002,821.03
Switzerland,2001,816.09
Switzerland,2000,826.93
Switzerland,1999,862.71
Switzerland,1998,810.53
Switzerland,1997,712.43
Switzerland,1996,922.09
Switzerland,1995,935.13
Switzerland,1994,944.38
Switzerland,1993,868.79
Switzerland,1992,994.89
Switzerland,1991,948.89
Switzerland,1990,907.48
Norway,2019,749.91
Norway,2018,734.17
Norway,2017,781
Norway,2016,782
Norway,2015,788
Norway,2014,729
Norway,2013,763
Norway,2012,723.37
Norway,2011,785.13
Norway,2010,745.7
Norway,2009,715.24
Norway,2008,714.56
Norway,2007,771.42
Norway,2006,721.27
Norway,2005,743.42
Norway,2004,708.94
Norway,2003,683
Norway,2002,692.25
Norway,2001,709.94
Norway,2000,657.2
Norway,1999,785.17
Norway,1998,702.47
Norway,1997,675.02
Norway,1996,713.3
Norway,1995,657.14
Norway,1994,799.61
Norway,1993,690.23
Norway,1992,736.46
Norway,1991,757.65
Norway,1990,726.66
Tunisia,2019,554.8
Tunisia,2018,532.8
Tunisia,2017,546
Tunisia,2016,465
Tunisia,2015,458
Tunisia,2014,460
Tunisia,2013,429
Tunisia,2012,421.14
Tunisia,2011,415.37
Tunisia,2010,301.47
Tunisia,2009,288.73
Tunisia,2008,317.49
Tunisia,2007,253.4
Tunisia,2006,200.4
Tunisia,2005,189.8
Tunisia,2004,262.98
Tunisia,2003,119.66
Tunisia,2002,234.17
Tunisia,2001,231.78
Tunisia,2000,191.74
Tunisia,1999,185.41
Tunisia,1998,147.42
Tunisia,1997,164.62
Tunisia,1996,143.65
Tunisia,1995,136.78
Tunisia,1994,137.27
Tunisia,1993,100.62
Tunisia,1992,110.58
Tunisia,1991,90.2
Tunisia,1990,101
Guatemala,2019,401
Guatemala,2018,395
Guatemala,2017,395
Guatemala,2016,390
Guatemala,2015,390
Guatemala,2014,380
Guatemala,2013,370
Guatemala,2012,360
Guatemala,2011,350
Guatemala,2010,340
Guatemala,2009,320
Guatemala,2008,335
Guatemala,2007,300
Guatemala,2006,300
Guatemala,2005,300
Guatemala,2004,300
Guatemala,2003,300
Guatemala,2002,300
Guatemala,2001,300
Guatemala,2000,300
Guatemala,1999,300
Guatemala,1998,300
Guatemala,1997,300
Guatemala,1996,300
Guatemala,1995,310
Guatemala,1994,310
Guatemala,1993,310
Guatemala,1992,300
Guatemala,1991,300
Guatemala,1990,300
Dominican Republic,2019,392.33
Dominican Republic,2018,390
Dominican Republic,2017,390
Dominican Republic,2016,390
Dominican Republic,2015,388
Dominican Republic,2014,388
Dominican Republic,2013,383.33
Dominican Republic,2012,378
Dominican Republic,2011,378
Dominican Republic,2010,378
Dominican Republic,2009,378
Dominican Republic,2008,378
Dominican Republic,2007,378
Dominican Republic,2006,378
Dominican Republic,2005,378
Dominican Republic,2004,378
Dominican Republic,2003,340
Dominican Republic,2002,340.2
Dominican Republic,2001,340.2
Dominican Republic,2000,325
Dominican Republic,1999,325
Dominican Republic,1998,325
Dominican Republic,1997,325
Dominican Republic,1996,325
Dominican Republic,1995,350
Dominican Republic,1994,330
Dominican Republic,1993,320
Dominican Republic,1992,320
Dominican Republic,1991,320
Dominican Republic,1990,320
Honduras,2019,384.41
Honduras,2018,375
Honduras,2017,375
Honduras,2016,370
Honduras,2015,365
Honduras,2014,355
Honduras,2013,350
Honduras,2012,345
Honduras,2011,340
Honduras,2010,335
Honduras,2009,306.67
Honduras,2008,268.33
Honduras,2007,245
Honduras,2006,230
Honduras,2005,230
Honduras,2004,230
Honduras,2003,200
Honduras,2002,200
Honduras,2001,200
Honduras,2000,230
Honduras,1999,168
Honduras,1998,138
Honduras,1997,161
Honduras,1996,167.92
Honduras,1995,161
Honduras,1994,253
Honduras,1993,230
Honduras,1992,240
Honduras,1991,257.1
Honduras,1990,188.15
